week,matchup_id,team_key,team_id,team_name,result,H/AB,R,HR,RBI,SB,TB,AVG,OBP,IP,K,ERA,WHIP,SV
8,3,431.l.120609.t.5,5,Ohtani's Casino,1,47/223,30,9,35,8,90,.211,.286,38.0,30,4.03,1.18,5
8,3,431.l.120609.t.12,12,Arraez Con Pollo,0,67/239,27,6,29,6,102,.280,.331,61.1,57,4.40,1.34,1
8,4,431.l.120609.t.6,6,David's Team,1,56/232,26,8,31,3,97,.241,.299,62.1,62,2.17,0.99,6
8,4,431.l.120609.t.14,14,Since You've Been Kwan,0,72/250,33,4,25,5,105,.288,.357,50.0,47,4.14,1.32,6
8,5,431.l.120609.t.9,9,The Will Smith Slappers,1,52/211,34,13,29,10,102,.246,.322,87.0,75,4.45,1.20,5
8,5,431.l.120609.t.10,10,Pfaadt and JungOber,0,59/237,40,18,39,3,120,.249,.321,65.1,72,4.68,1.29,2
8,6,431.l.120609.t.11,11,Bohms Away,1,54/235,38,11,36,7,102,.230,.322,46.2,44,2.31,1.14,10
8,6,431.l.120609.t.13,13,Bookie Betts,0,54/205,30,9,29,3,93,.263,.326,57.2,59,6.24,1.32,4
9,0,431.l.120609.t.1,1,Shawty Got Soto,1,63/228,42,11,39,2,113,.276,.336,76.1,66,4.01,1.43,5
9,0,431.l.120609.t.10,10,Pfaadt and JungOber,0,67/240,31,7,31,6,104,.279,.333,62.2,58,3.16,0.96,2
9,1,431.l.120609.t.2,2,Jahn's EnDevers,-1,66/228,32,4,30,3,98,.289,.362,49.0,58,4.04,1.24,4
9,1,431.l.120609.t.11,11,Bohms Away,-1,54/246,26,8,33,4,91,.220,.277,39.2,49,3.86,1.01,7
9,2,431.l.120609.t.3,3,Mr. Castillo Girl,0,50/210,23,8,26,8,86,.238,.308,69.0,79,2.87,1.12,2
9,2,431.l.120609.t.13,13,Bookie Betts,1,58/220,30,9,26,1,99,.264,.344,66.1,66,3.26,1.28,4
9,3,431.l.120609.t.4,4,Gabe's Team,0,64/248,34,7,31,1,105,.258,.309,49.1,41,3.47,1.34,2
9,3,431.l.120609.t.9,9,The Will Smith Slappers,1,53/215,31,11,31,6,93,.247,.318,56.0,53,2.73,1.07,11
9,4,431.l.120609.t.5,5,Ohtani's Casino,0,46/204,18,4,22,6,67,.225,.289,34.0,37,2.91,1.21,5
9,4,431.l.120609.t.7,7,Nate's Team,1,47/185,25,6,21,4,77,.254,.327,56.1,55,2.72,1.12,3
9,5,431.l.120609.t.6,6,David's Team,1,56/220,28,7,31,6,86,.255,.328,56.1,72,4.47,1.21,3
9,5,431.l.120609.t.12,12,Arraez Con Pollo,0,50/232,23,2,21,5,67,.216,.285,53.0,60,4.58,1.26,4
9,6,431.l.120609.t.8,8,This Means Schwar,0,59/247,27,11,33,3,110,.239,.284,47.0,53,5.74,1.40,1
9,6,431.l.120609.t.14,14,Since You've Been Kwan,1,66/256,39,4,18,2,91,.258,.329,49.0,45,5.51,1.31,2
